name,strategy_name,symbol,timeframe,start,end,total_trades,win_rate,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,avg_win_loss_ratio,wfo_windows,wfo_total_trades,wfo_mean_sharpe,wfo_total_return_pct,passes_gates,failure_reasons
mtf-0030,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,171,24.561403508771928,-71.75682957406386,77.02255591614991,-2.0479430268009193,-2.802690961988135,0.5506819171813835,1.6913801741999637,3,44,-2.850389471799206,-38.90182103335202,False,"drawdown,wfo_sharpe"
mtf-0031,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,43,48.837209302325576,-31.999046813523,33.38654015382587,-1.6926539014083928,-2.092629232134133,0.28850892389579164,0.3022474440813055,3,18,-2.4098049606060274,-16.257695042940778,False,"drawdown,wfo_sharpe"
mtf-0032,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,201,29.850746268656714,-77.21515531529218,80.73728907553908,-2.316954158385936,-3.1360283831712445,0.535299552481712,1.2579539483320232,3,54,-2.8922093516754663,-40.87198147801867,False,"drawdown,wfo_sharpe"
mtf-0033,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,71,46.478873239436616,-36.81219601863827,40.96517613269531,-1.947589310237474,-2.455930832696972,0.4291905046215955,0.49421936895820096,3,12,-2.1011152423229436,-10.940333970937111,False,"drawdown,wfo_sharpe"
mtf-0034,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,226,31.858407079646017,-78.1346532602538,81.69749586763987,-2.5244499783294505,-3.4100511840633687,0.5314537251766862,1.1367204677390235,3,48,-2.2361366365319655,-32.53899730752481,False,"drawdown,wfo_sharpe"
mtf-0035,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,233,48.06866952789699,-82.4693436783873,83.65705065189515,-4.007543985576962,-4.863808163887885,0.3707877828527191,0.4005832296890983,3,64,-3.6502452484145045,-37.28105713279525,False,"drawdown,wfo_sharpe"
mtf-0036,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,392,41.58163265306122,-93.73572816505325,94.24465740937077,-4.292312046992525,-5.492104382157622,0.46689509741369134,0.6559446460597258,3,107,-4.576437876606313,-55.75470216329135,False,"drawdown,wfo_sharpe"
mtf-0037,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,21,28.57142857142857,-24.936795812202973,25.82176348230681,-1.9375071231375132,-2.315432236748615,0.16232075338779678,0.40580188346949203,3,9,-2.092585206083728,-10.172562161524457,False,"drawdown,wfo_sharpe"
mtf-0038,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,179,24.581005586592177,-75.57723781719827,79.66255084819531,-2.289064825396302,-3.112769917418025,0.525508439229732,1.6123554385457686,3,44,-2.284763816756994,-33.16058490335355,False,"drawdown,wfo_sharpe"
mtf-0039,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,50,50.0,-34.44604777471786,35.20145208581902,-1.7335818144507151,-2.1575752331264906,0.3003925964535052,0.3003925964535052,3,20,-2.117369472577024,-15.132259035732021,False,"drawdown,wfo_sharpe"
mtf-0040,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,207,29.951690821256037,-78.94283837287269,82.19790290757447,-2.4466322178664686,-3.3017232861672396,0.5241270213450026,1.2257809370165382,3,54,-2.3843037106226936,-35.3632221236606,False,"drawdown,wfo_sharpe"
mtf-0041,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,71,46.478873239436616,-36.81219601863827,40.96517613269531,-1.947589310237474,-2.455930832696972,0.4291905046215955,0.49421936895820096,3,12,-2.1011152423229436,-10.940333970937111,False,"drawdown,wfo_sharpe"
mtf-0042,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,226,31.858407079646017,-78.1346532602538,81.69749586763987,-2.5244499783294505,-3.4100511840633687,0.5314537251766862,1.1367204677390235,3,48,-2.2361366365319655,-32.53899730752481,False,"drawdown,wfo_sharpe"
mtf-0043,mtf_template,ETHUSDT,1h,2024-01-09T07:00:00+00:00,2026-02-23T17:00:00+00:00,233,48.06866952789699,-82.4693436783873,83.65705065189515,-4.007543985576962,-4.863808163887885,0.3707877828527191,0.4005832296890983,3,64,-3.6502452484145045,-37.28105713279525,False,"drawdown,wfo_sharpe"
